Gene symbol	RT-R-MDA-MB-231
TCEB3-AS1	24
PITHD1	339
LYPLA2	1588
GALE	798
HMGCL	141
FUCA1	666
CNR2	0
PNRC2	306
SRSF10	964
MYOM3	0
IL22RA1	11
IFNLR1	55
LOC284632	1
GRHL3	1
STPG1	130
NIPAL3	667
RCAN3AS	4
RCAN3	35
LOC100506985	0
NCMAP	9
SRRM1	1679
CLIC4	1529
RUNX3	10
SYF2	1215
RSRP1	318
RHD	5
TMEM50A	504
RHCE	54
TMEM57	232
LDLRAP1	642
MAN1C1	18
SEPN1	227
MTFR1L	159
LOC646471	1
AUNIP	179
PAQR7	186
STMN1	5900
PAFAH2	70
EXTL1	3
SLC30A2	0
TRIM63	17
PDIK1L	46
FAM110D	9
ZNF593	648
CNKSR1	11
CATSPER4	0
LOC101928303	2
CEP85	145
SH3BGRL3	2364
UBXN11	4
CD52	0
AIM1L	25
ZNF683	0
LIN28A	2
DHDDS	544
LOC101928324	4
HMGN2	894
RPS6KA1	302
ARID1A	618
PIGV	64
ZDHHC18	199
SFN	2822
GPN2	69
GPATCH3	128
NR0B2	0
NUDC	1056
KDF1	1
TRNP1	172
FAM46B	21
SLC9A1	123
WDTC1	202
TMEM222	69
ACTG1P20	98
SYTL1	21
MAP3K6	88
FCN3	0
CD164L2	0
GPR3	19
WASF2	2573
AHDC1	331
FGR	0
IFI6	333
FAM76A	87
STX12	216
PPP1R8	202
SCARNA1	1
THEMIS2	90
RPA2	722
SMPDL3B	23
XKR8	150
EYA3	380
PTAFR	21
DNAJC8	1492
ATPIF1	3088
SESN2	1115
MED18	128
PHACTR4	667
SNHG3	6
RCC1	984
SNORA73B	2
TRNAU1AP	499
SNHG12	557
SNORD99	9
SNORA61	39
SNORA44	0
SNORA16A	0
RAB42	7
TAF12	33
RNU11	4
GMEB1	150
YTHDF2	549
OPRD1	0
EPB41	1010
TMEM200B	974
SRSF4	832
MECR	181
PTPRU	222
LOC101928460	0
LOC101929406	0
MATN1	3
MATN1-AS1	0
LAPTM5	1871
SDC3	76
PUM1	855
SNORD103A	0
SNORD103B	0
SNORD85	0
NKAIN1	3
SNRNP40	62
ZCCHC17	421
FABP3	31
SERINC2	956
LINC01225	0
LINC01226	1
TINAGL1	1282
HCRTR1	1
PEF1	281
COL16A1	33
ADGRB2	10
SPOCD1	146
PTP4A2	4709
KHDRBS1	99
TMEM39B	533
KPNA6	1627
TXLNA	526
CCDC28B	239
IQCC	34
DCDC2B	3
TMEM234	13
EIF3I	1010
MTMR9LP	27
FAM167B	2
LCK	1
HDAC1	2422
