Gene,Control,Resistant,Log2FoldChange,p-value
RAD52,65,106,0.6970728670426934,1.8141818536665456e-14
ERC1,425,463,0.12327137490173382,1.8141818536665456e-14
LINC00942,0,5,2.584962500721156,1.8141818536665456e-14
FBXL14,0,2,1.584962500721156,1.8141818536665456e-14
WNT5B,205,299,0.5423181633126625,1.8141818536665456e-14
ADIPOR2,2154,1862,-0.2100601950348229,1.8141818536665456e-14
CACNA2D4,1,133,6.066089190457772,1.8141818536665456e-14
LRTM2,0,2,1.584962500721156,1.8141818536665456e-14
DCP1B,27,37,0.4405725913859814,1.8141818536665456e-14
CACNA1C,1,2,0.5849625007211562,1.8141818536665456e-14
CACNA1C-IT3,0,2,1.584962500721156,1.8141818536665456e-14
FKBP4,721,489,-0.5592170878846006,1.8141818536665456e-14
ITFG2,3,1,-1.0,1.8141818536665456e-14
NRIP2,25,15,-0.7004397181410921,1.8141818536665456e-14
LOC100507424,33,43,0.37196877738695794,1.8141818536665456e-14
FOXM1,1114,961,-0.21293491103762513,1.8141818536665456e-14
RHNO1,789,752,-0.06920278839253714,1.8141818536665456e-14
TULP3,666,639,-0.05961485629722265,1.8141818536665456e-14
TEAD4,108,165,0.6068551065699984,1.8141818536665456e-14
TSPAN9,337,326,-0.04773261078410186,1.8141818536665456e-14
CRACR2A,0,2,1.584962500721156,1.8141818536665456e-14
PARP11,82,56,-0.5421494171821831,1.8141818536665456e-14
CCND2-AS1,0,2,1.584962500721156,1.8141818536665456e-14
CCND2,24,361,3.855989697308481,1.8141818536665456e-14
TIGAR,140,170,0.2783011624871044,1.8141818536665456e-14
C12orf4,325,429,0.39946469535838264,1.8141818536665456e-14
RAD51AP1,649,408,-0.668338874974068,1.8141818536665456e-14
DYRK4,367,294,-0.31899081180780936,1.8141818536665456e-14
NDUFA9,857,668,-0.35897143685808475,1.8141818536665456e-14
LOC101929549,0,5,2.584962500721156,1.8141818536665456e-14
KCNA6,0,6,2.807354922057604,1.8141818536665456e-14
LOC101929584,7,6,-0.19264507794239588,1.8141818536665456e-14
NTF3,16,6,-1.2801079191927354,1.8141818536665456e-14
ANO2,1,0,-1.0,1.8141818536665456e-14
VWF,1,1,0.0,1.8141818536665456e-14
CD9,5608,7777,0.47165565175242335,1.8141818536665456e-14
PLEKHG6,1,1,0.0,1.8141818536665456e-14
TNFRSF1A,1752,1967,0.16690422457970178,1.8141818536665456e-14
SCNN1A,105,38,-1.442518235700951,1.8141818536665456e-14
LTBR,1127,1136,0.011465186493454483,1.8141818536665456e-14
CD27-AS1,104,121,0.21649181989676375,1.8141818536665456e-14
CD27,9,5,-0.7369655941662062,1.8141818536665456e-14
TAPBPL,41,33,-0.3048545815284209,1.8141818536665456e-14
VAMP1,49,30,-0.6896598793878495,1.8141818536665456e-14
MRPL51,1998,1508,-0.4056856662179444,1.8141818536665456e-14
NCAPD2,1061,750,-0.49989895328988176,1.8141818536665456e-14
SCARNA10,2,5,1.0,1.8141818536665456e-14
GAPDH,26365,21298,-0.30789301906546257,1.8141818536665456e-14
IFFO1,86,175,1.0164881227885691,1.8141818536665456e-14
NOP2,420,391,-0.10296657895118788,1.8141818536665456e-14
CHD4,2729,2979,0.126411379542309,1.8141818536665456e-14
SCARNA11,13,5,-1.222392421336448,1.8141818536665456e-14
LPAR5,19,39,1.0,1.8141818536665456e-14
ING4,192,224,0.22132415394895655,1.8141818536665456e-14
ZNF384,66,159,1.2558389044295897,1.8141818536665456e-14
PIANP,1,1,0.0,1.8141818536665456e-14
COPS7A,1623,1854,0.1918675543229893,1.8141818536665456e-14
MLF2,1437,1296,-0.1488851961875984,1.8141818536665456e-14
PTMS,816,866,0.08569591507615146,1.8141818536665456e-14
LAG3,10,7,-0.4594316186372972,1.8141818536665456e-14
GPR162,5,15,1.4150374992788437,1.8141818536665456e-14
P3H3,36,155,2.0759488532332986,1.8141818536665456e-14
GNB3,6,8,0.36257007938470837,1.8141818536665456e-14
CDCA3,1403,687,-1.0290624656024627,1.8141818536665456e-14
USP5,565,377,-0.5824158186108097,1.8141818536665456e-14
TPI1,4504,3259,-0.46665514158246096,1.8141818536665456e-14
SPSB2,121,178,0.5530784397013702,1.8141818536665456e-14
RPL13P5,15,18,0.2479275134435855,1.8141818536665456e-14
DSTNP2,57,77,0.4274212237346762,1.8141818536665456e-14
LRRC23,72,95,0.3951379418411389,1.8141818536665456e-14
ENO2,1392,1301,-0.09746580943561738,1.8141818536665456e-14
ATN1,403,476,0.23963397325371671,1.8141818536665456e-14
C12orf57,701,760,0.11642542319898473,1.8141818536665456e-14
PTPN6,12,3,-1.7004397181410922,1.8141818536665456e-14
PHB2,4776,4841,0.019498202527670948,1.8141818536665456e-14
SCARNA12,23,9,-1.2630344058337937,1.8141818536665456e-14
EMG1,1024,837,-0.2906017606934569,1.8141818536665456e-14
LPCAT3,323,269,-0.2630344058337938,1.8141818536665456e-14
C1S,28,61,1.096215315259303,1.8141818536665456e-14
C1R,146,262,0.839246644455938,1.8141818536665456e-14
C1RL,22,70,1.6261851634476692,1.8141818536665456e-14
C1RL-AS1,30,37,0.2937312030567103,1.8141818536665456e-14
CLSTN3,32,56,0.7884958948062882,1.8141818536665456e-14
PEX5,3,2,-0.4150374992788438,1.8141818536665456e-14
ACSM4,1,4,1.3219280948873624,1.8141818536665456e-14
CD163L1,164,142,-0.20645087746742632,1.8141818536665456e-14
CLEC4C,0,1,1.0,1.8141818536665456e-14
NANOG,2,6,1.222392421336448,1.8141818536665456e-14
SLC2A14,13,11,-0.22239242133644802,1.8141818536665456e-14
SLC2A3,533,914,0.7769320014838509,1.8141818536665456e-14
FOXJ2,323,229,-0.4943599519402494,1.8141818536665456e-14
NECAP1,135,134,-0.010647244199508478,1.8141818536665456e-14
CLEC4A,0,2,1.584962500721156,1.8141818536665456e-14
FAM90A1,1,2,0.5849625007211562,1.8141818536665456e-14
FAM86FP,41,48,0.22239242133644802,1.8141818536665456e-14
LINC00937,0,4,2.321928094887362,1.8141818536665456e-14
AICDA,4,15,1.6780719051126378,1.8141818536665456e-14
MFAP5,3,3,0.0,1.8141818536665456e-14
RIMKLB,49,74,0.5849625007211562,1.8141818536665456e-14
PHC1,265,295,0.1541709301277601,1.8141818536665456e-14
M6PR,291,302,0.05334942459293374,1.8141818536665456e-14
KLRG1,2,4,0.7369655941662062,1.8141818536665456e-14
A2M-AS1,0,1,1.0,1.8141818536665456e-14
A2M,2,1,-0.5849625007211563,1.8141818536665456e-14
LINC00987,204,308,0.5919829283989285,1.8141818536665456e-14
LOC642846,90,64,-0.4854268271702417,1.8141818536665456e-14
LOC101930452,16,8,-0.9175378398080271,1.8141818536665456e-14
DDX12P,100,47,-1.0732489820306386,1.8141818536665456e-14
LOC374443,24,35,0.5260688116675876,1.8141818536665456e-14
CLEC2D,379,516,0.4441648619839867,1.8141818536665456e-14
CLEC2B,70,155,1.1356550993575665,1.8141818536665456e-14
CLEC1A,1,2,0.5849625007211562,1.8141818536665456e-14
CLEC7A,2,1,-0.5849625007211563,1.8141818536665456e-14
TMEM52B,2,0,-1.5849625007211563,1.8141818536665456e-14
GABARAPL1,580,685,0.2396704127682835,1.8141818536665456e-14
KLRD1,4,1,-1.3219280948873622,1.8141818536665456e-14
LOC101928100,29,24,-0.2630344058337938,1.8141818536665456e-14
KLRC4-KLRK1,31,62,0.9772799234999164,1.8141818536665456e-14
KLRK1,27,59,1.0995356735509143,1.8141818536665456e-14
KLRC3,15,12,-0.2995602818589078,1.8141818536665456e-14
KLRC2,84,84,0.0,1.8141818536665456e-14
KLRC1,21,19,-0.13750352374993496,1.8141818536665456e-14
MAGOHB,285,250,-0.18832778282761745,1.8141818536665456e-14
STYK1,20,34,0.7369655941662062,1.8141818536665456e-14
YBX3,3973,4621,0.21792538721796084,1.8141818536665456e-14
PRH1-PRR4,33,24,-0.4436066514756146,1.8141818536665456e-14
PRR4,39,31,-0.3219280948873623,1.8141818536665456e-14
PRH1,2,1,-0.5849625007211563,1.8141818536665456e-14
TAS2R13,2,0,-1.5849625007211563,1.8141818536665456e-14
PRH2,3,4,0.32192809488736235,1.8141818536665456e-14
TAS2R14,1,2,0.5849625007211562,1.8141818536665456e-14
TAS2R20,16,21,0.37196877738695794,1.8141818536665456e-14
TAS2R19,0,2,1.584962500721156,1.8141818536665456e-14
TAS2R31,0,1,1.0,1.8141818536665456e-14
TAS2R46,0,1,1.0,1.8141818536665456e-14
TAS2R43,0,1,1.0,1.8141818536665456e-14
TAS2R30,10,5,-0.8744691179161412,1.8141818536665456e-14
SMIM10L1,481,399,-0.26903314645523685,1.8141818536665456e-14
LINC01252,2,9,1.7369655941662063,1.8141818536665456e-14
ETV6,892,891,-0.0016164652009182027,1.8141818536665456e-14
LRP6,296,269,-0.13750352374993496,1.8141818536665456e-14
MANSC1,50,20,-1.2801079191927354,1.8141818536665456e-14
LOH12CR2,2,7,1.4150374992788437,1.8141818536665456e-14
LOH12CR1,26,23,-0.16992500144231243,1.8141818536665456e-14
DUSP16,209,264,0.33560303178443884,1.8141818536665456e-14
CREBL2,786,642,-0.2915448981795391,1.8141818536665456e-14
GPR19,8,6,-0.36257007938470825,1.8141818536665456e-14
CDKN1B,503,505,0.005713651194393638,1.8141818536665456e-14
APOLD1,210,155,-0.43569696984493683,1.8141818536665456e-14
DDX47,488,472,-0.04799428161283853,1.8141818536665456e-14
RPL13AP20,1966,3007,0.6128076093991072,1.8141818536665456e-14
GPRC5A,1759,2004,0.188026807817623,1.8141818536665456e-14
GPRC5D,0,6,2.807354922057604,1.8141818536665456e-14
HEBP1,923,677,-0.4466075782797137,1.8141818536665456e-14
LOC100506314,9,5,-0.7369655941662062,1.8141818536665456e-14
HTR7P1,34,26,-0.37439551478149785,1.8141818536665456e-14
KIAA1467,81,39,-1.0356239097307214,1.8141818536665456e-14
GSG1,11,4,-1.2630344058337937,1.8141818536665456e-14
EMP1,3442,3347,-0.04036665301957189,1.8141818536665456e-14
GRIN2B,0,3,2.0,1.8141818536665456e-14
ATF7IP,1366,1247,-0.13139530874381167,1.8141818536665456e-14
PLBD1,128,219,0.7701324581014054,1.8141818536665456e-14
GUCY2C,1,5,1.584962500721156,1.8141818536665456e-14
HIST4H4,6,4,-0.4854268271702417,1.8141818536665456e-14
H2AFJ,268,230,-0.21971332114056663,1.8141818536665456e-14
WBP11,880,747,-0.236103749032777,1.8141818536665456e-14
C12orf60,2,7,1.4150374992788437,1.8141818536665456e-14
SMCO3,1,2,0.5849625007211562,1.8141818536665456e-14
ART4,0,1,1.0,1.8141818536665456e-14
ERP27,1,3,1.0,1.8141818536665456e-14
ARHGDIB,1029,712,-0.5306703556266925,1.8141818536665456e-14
LINC01489,0,1,1.0,1.8141818536665456e-14
EPS8,177,219,0.30562628255826174,1.8141818536665456e-14
STRAP,1588,1418,-0.16324453528796767,1.8141818536665456e-14
DERA,278,307,0.14266522886571376,1.8141818536665456e-14
MGST1,1471,1860,0.3383003840021387,1.8141818536665456e-14
LMO3,19,20,0.070389327891398,1.8141818536665456e-14
SKP1P2,79,62,-0.3446481713874459,1.8141818536665456e-14
RERGL,5,1,-1.5849625007211563,1.8141818536665456e-14
PIK3C2G,1,1,0.0,1.8141818536665456e-14
PLEKHA5,416,477,0.1969632345360849,1.8141818536665456e-14
AEBP2,109,128,0.22986754189859437,1.8141818536665456e-14
SLCO1B3,247,459,0.8912937405575,1.8141818536665456e-14
SLCO1B7,6,9,0.5145731728297582,1.8141818536665456e-14
SLCO1B1,5,4,-0.2630344058337938,1.8141818536665456e-14
IAPP,0,2,1.584962500721156,1.8141818536665456e-14
PYROXD1,248,237,-0.06518416876013741,1.8141818536665456e-14
RECQL,267,269,0.01072640659305833,1.8141818536665456e-14
GOLT1B,269,222,-0.2759156971305261,1.8141818536665456e-14
LDHB,4198,4057,-0.04927692307835811,1.8141818536665456e-14
KCNJ8,2,0,-1.5849625007211563,1.8141818536665456e-14
ABCC9,27,26,-0.05246741989413554,1.8141818536665456e-14
CMAS,805,780,-0.04545729038598807,1.8141818536665456e-14
ST8SIA1,13,6,-1.0,1.8141818536665456e-14
C2CD5,87,175,1.0,1.8141818536665456e-14
ETNK1,423,299,-0.4991017640673184,1.8141818536665456e-14
LINC00477,3,2,-0.4150374992788438,1.8141818536665456e-14
BCAT1,1834,2725,0.5710054990746344,1.8141818536665456e-14
LRMP,0,4,2.321928094887362,1.8141818536665456e-14
CASC1,0,1,1.0,1.8141818536665456e-14
LYRM5,69,33,-1.041820175694627,1.8141818536665456e-14
KRAS,851,712,-0.2569513537819501,1.8141818536665456e-14
RASSF8-AS1,34,23,-0.5443205162238103,1.8141818536665456e-14
RASSF8,126,147,0.22076867885678383,1.8141818536665456e-14
BHLHE41,251,247,-0.023083613113041343,1.8141818536665456e-14
SSPN,98,96,-0.029443777892481968,1.8141818536665456e-14
ITPR2,139,161,0.2105669859396584,1.8141818536665456e-14
ASUN,170,164,-0.05153030064008207,1.8141818536665456e-14
FGFR1OP2,233,266,0.19033121210414933,1.8141818536665456e-14
TM7SF3,1076,1214,0.17393806394893582,1.8141818536665456e-14
MED21,189,116,-0.6994908887475433,1.8141818536665456e-14
C12orf71,4,18,1.925999418556223,1.8141818536665456e-14
STK38L,185,141,-0.3894116916033494,1.8141818536665456e-14
ARNTL2,377,269,-0.4854268271702417,1.8141818536665456e-14
ARNTL2-AS1,8,2,-1.5849625007211563,1.8141818536665456e-14
SMCO2,26,27,0.05246741989413548,1.8141818536665456e-14
PPFIBP1,413,587,0.5061853873370392,1.8141818536665456e-14
REP15,13,17,0.36257007938470837,1.8141818536665456e-14
MRPS35,525,508,-0.047397143216607054,1.8141818536665456e-14
KLHL42,397,506,0.3492173164596917,1.8141818536665456e-14
PTHLH,2,5,1.0,1.8141818536665456e-14
CCDC91,327,324,-0.013256096702266849,1.8141818536665456e-14
FAR2,8,11,0.41503749927884376,1.8141818536665456e-14
LOC100506606,4,5,0.2630344058337938,1.8141818536665456e-14
ERGIC2,369,316,-0.22304243037690485,1.8141818536665456e-14
TMTC1,5,8,0.5849625007211562,1.8141818536665456e-14
IPO8,398,305,-0.3828570935296941,1.8141818536665456e-14
CAPRIN2,174,280,0.6832152083885973,1.8141818536665456e-14
LINC00941,13,38,1.478047296804644,1.8141818536665456e-14
DDX11-AS1,5,0,-2.584962500721156,1.8141818536665456e-14
DDX11,229,186,-0.2985955910567386,1.8141818536665456e-14
FAM60A,243,434,0.8341342531732044,1.8141818536665456e-14
FLJ13224,1,0,-1.0,1.8141818536665456e-14
DENND5B,518,471,-0.13694767899603963,1.8141818536665456e-14
DENND5B-AS1,1,2,0.5849625007211562,1.8141818536665456e-14
METTL20,16,11,-0.5025003405291831,1.8141818536665456e-14
AMN1,116,116,0.0,1.8141818536665456e-14
H3F3C,290,290,0.0,1.8141818536665456e-14
KIAA1551,97,138,0.5042312286082992,1.8141818536665456e-14
BICD1,69,56,-0.2963930027802248,1.8141818536665456e-14
FGD4,20,67,1.695145418471579,1.8141818536665456e-14
DNM1L,962,706,-0.44582558303406045,1.8141818536665456e-14
YARS2,124,136,0.13224779829843977,1.8141818536665456e-14
PKP2,110,83,-0.4020984435713456,1.8141818536665456e-14
ALG10,8,19,1.15200309344505,1.8141818536665456e-14
ALG10B,128,115,-0.15324626029568192,1.8141818536665456e-14
CPNE8,88,119,0.4311571646421207,1.8141818536665456e-14
KIF21A,291,326,0.1633222666180652,1.8141818536665456e-14
ABCD2,0,1,1.0,1.8141818536665456e-14
SLC2A13,27,19,-0.4854268271702417,1.8141818536665456e-14
LRRK2,19,3,-2.321928094887362,1.8141818536665456e-14
CNTN1,0,3,2.0,1.8141818536665456e-14
GXYLT1,1040,805,-0.36911832477144974,1.8141818536665456e-14
YAF2,298,213,-0.48253468779695813,1.8141818536665456e-14
ZCRB1,1678,1380,-0.28188891067897925,1.8141818536665456e-14
PPHLN1,357,416,0.22008779618040708,1.8141818536665456e-14
PRICKLE1,108,57,-0.9102033296493541,1.8141818536665456e-14
ADAMTS20,0,1,1.0,1.8141818536665456e-14
PUS7L,588,396,-0.5691286266875029,1.8141818536665456e-14
IRAK4,136,148,0.12113643750163472,1.8141818536665456e-14
TWF1,682,500,-0.447074975094882,1.8141818536665456e-14
TMEM117,4,8,0.8479969065549501,1.8141818536665456e-14
NELL2,3,7,1.0,1.8141818536665456e-14
PLEKHA8P1,15,20,0.3923174227787603,1.8141818536665456e-14
ANO6,361,314,-0.20063786869592645,1.8141818536665456e-14
LINC00938,77,50,-0.6129768768907528,1.8141818536665456e-14
ARID2,138,168,0.28193836355867685,1.8141818536665456e-14
SCAF11,1870,1722,-0.11888685701583587,1.8141818536665456e-14
SLC38A1,3269,5323,0.7032199355264468,1.8141818536665456e-14
SLC38A2,2295,3024,0.3978125003736313,1.8141818536665456e-14
LOC100288798,2,10,1.874469117916141,1.8141818536665456e-14
SLC38A4,33,14,-1.1805722456418208,1.8141818536665456e-14
AMIGO2,560,1309,1.2234941358160196,1.8141818536665456e-14
PCED1B,21,54,1.3219280948873624,1.8141818536665456e-14
PCED1B-AS1,3,0,-2.0,1.8141818536665456e-14
RPAP3,320,273,-0.22839740416177645,1.8141818536665456e-14
ENDOU,1,1,0.0,1.8141818536665456e-14
RAPGEF3,48,48,0.0,1.8141818536665456e-14
SLC48A1,319,338,0.08321336824898148,1.8141818536665456e-14
HDAC7,4574,5995,0.39022863988909245,1.8141818536665456e-14
VDR,105,345,1.7067077730735254,1.8141818536665456e-14
TMEM106C,1532,927,-0.7241609865312055,1.8141818536665456e-14
COL2A1,0,1,1.0,1.8141818536665456e-14
SENP1,260,237,-0.1330882332619409,1.8141818536665456e-14
PFKM,396,460,0.21562774328638012,1.8141818536665456e-14
ASB8,180,148,-0.28067736662104376,1.8141818536665456e-14
CCDC184,2,16,2.5025003405291835,1.8141818536665456e-14
ZNF641,19,29,0.5849625007211562,1.8141818536665456e-14
C12orf54,1,0,-1.0,1.8141818536665456e-14
KANSL2,190,209,0.13681668963037386,1.8141818536665456e-14
SNORA34,2,5,1.0,1.8141818536665456e-14
CCNT1,245,267,0.12357468511853247,1.8141818536665456e-14
ADCY6,805,675,-0.253756592245783,1.8141818536665456e-14
LOC100506125,0,3,2.0,1.8141818536665456e-14
CACNB3,29,86,1.5360529002402097,1.8141818536665456e-14
DDX23,954,713,-0.41957665889401136,1.8141818536665456e-14
RND1,42,68,0.6822597020760711,1.8141818536665456e-14
CCDC65,3,5,0.5849625007211562,1.8141818536665456e-14
FKBP11,153,205,0.4197139864883169,1.8141818536665456e-14
ARF3,1600,1231,-0.37797105182135565,1.8141818536665456e-14
WNT10B,71,68,-0.061400544664143256,1.8141818536665456e-14
WNT1,1,2,0.5849625007211562,1.8141818536665456e-14
DDN,10,13,0.3479233034203068,1.8141818536665456e-14
PRKAG1,2384,1946,-0.29273638217257913,1.8141818536665456e-14
KMT2D,414,427,0.044499460166859954,1.8141818536665456e-14
RHEBL1,220,332,0.5914758076798305,1.8141818536665456e-14
DHH,3,4,0.32192809488736235,1.8141818536665456e-14
LMBR1L,264,210,-0.3287493607433763,1.8141818536665456e-14
TUBA1B,48686,46536,-0.06515839658741523,1.8141818536665456e-14
TUBA1A,5313,5995,0.1742021554573529,1.8141818536665456e-14
TUBA1C,32858,39114,0.2514333896396083,1.8141818536665456e-14
LOC101927267,233,194,-0.2630344058337938,1.8141818536665456e-14
PRPH,7,7,0.0,1.8141818536665456e-14
TROAP,647,498,-0.37695399754736425,1.8141818536665456e-14
C1QL4,0,1,1.0,1.8141818536665456e-14
DNAJC22,42,87,1.0331668639351994,1.8141818536665456e-14
SPATS2,201,152,-0.40082364005914295,1.8141818536665456e-14
LOC100335030,25,20,-0.3081222953623318,1.8141818536665456e-14
KCNH3,7,1,-2.0,1.8141818536665456e-14
MCRS1,1919,1432,-0.4220677013463729,1.8141818536665456e-14
FAM186B,1,1,0.0,1.8141818536665456e-14
PRPF40B,83,135,0.6951454184715792,1.8141818536665456e-14
FMNL3,244,307,0.3301486016923308,1.8141818536665456e-14
TMBIM6,4586,4449,-0.043745571340838334,1.8141818536665456e-14
NCKAP5L,69,91,0.3942789391120464,1.8141818536665456e-14
BCDIN3D-AS1,4,2,-0.7369655941662062,1.8141818536665456e-14
BCDIN3D,89,91,0.03170885972733805,1.8141818536665456e-14
LOC101927318,0,2,1.584962500721156,1.8141818536665456e-14
AQP5,6,5,-0.22239242133644802,1.8141818536665456e-14
AQP6,7,10,0.45943161863729726,1.8141818536665456e-14
RACGAP1,444,274,-0.6943737174417383,1.8141818536665456e-14
ASIC1,22,73,1.6858914095719368,1.8141818536665456e-14
SMARCD1,201,193,-0.05829864056466711,1.8141818536665456e-14
GPD1,5,1,-1.5849625007211563,1.8141818536665456e-14
COX14,1143,792,-0.5286942810744109,1.8141818536665456e-14
CERS5,582,500,-0.21868528000528806,1.8141818536665456e-14
LIMA1,1949,2997,0.6205262593108866,1.8141818536665456e-14
FAM186A,0,3,2.0,1.8141818536665456e-14
LARP4,970,897,-0.11275585067804526,1.8141818536665456e-14
DIP2B,131,133,0.021695071099318976,1.8141818536665456e-14
ATF1,222,271,0.2865629413300346,1.8141818536665456e-14
METTL7A,287,50,-2.4974996594708165,1.8141818536665456e-14
HIGD1C,1,1,0.0,1.8141818536665456e-14
SLC11A2,854,660,-0.3712741482655685,1.8141818536665456e-14
LETMD1,136,184,0.43334937755578545,1.8141818536665456e-14
CSRNP2,95,88,-0.10922906975475836,1.8141818536665456e-14
TFCP2,479,567,0.24285652389616355,1.8141818536665456e-14
POU6F1,16,15,-0.08746284125033943,1.8141818536665456e-14
DAZAP2,1352,1391,0.04099737187219115,1.8141818536665456e-14
SMAGP,548,396,-0.46766714186224095,1.8141818536665456e-14
GALNT6,386,276,-0.4824475900952219,1.8141818536665456e-14
SLC4A8,11,27,1.222392421336448,1.8141818536665456e-14
SCN8A,0,1,1.0,1.8141818536665456e-14
FIGNL2,2,3,0.41503749927884376,1.8141818536665456e-14
ACVRL1,11,24,1.0588936890535685,1.8141818536665456e-14
ACVR1B,179,244,0.4447848426728959,1.8141818536665456e-14
GRASP,6,16,1.2801079191927351,1.8141818536665456e-14
NR4A1,10,25,1.2410080995037949,1.8141818536665456e-14
ATG101,395,477,0.2715101879011388,1.8141818536665456e-14
OR7E47P,1,0,-1.0,1.8141818536665456e-14
KRT80,1091,979,-0.15611920191728185,1.8141818536665456e-14
LINC00592,8,8,0.0,1.8141818536665456e-14
KRT7,1871,1519,-0.30050911125245666,1.8141818536665456e-14
KRT81,9731,7903,-0.3001533733537515,1.8141818536665456e-14
KRT86,126,135,0.09877815447817369,1.8141818536665456e-14
KRT83,0,2,1.584962500721156,1.8141818536665456e-14
KRT85,0,1,1.0,1.8141818536665456e-14
KRT3,0,1,1.0,1.8141818536665456e-14
KRT79,0,3,2.0,1.8141818536665456e-14
KRT78,0,1,1.0,1.8141818536665456e-14
KRT8,590,578,-0.029594782188295775,1.8141818536665456e-14
KRT18,2525,2816,0.1573049245873785,1.8141818536665456e-14
EIF4B,1040,1199,0.2050643371964638,1.8141818536665456e-14
LOC283335,66,75,0.18183832298581298,1.8141818536665456e-14
TNS2,630,544,-0.21138377531826033,1.8141818536665456e-14
SPRYD3,818,743,-0.13856083053297724,1.8141818536665456e-14
IGFBP6,737,562,-0.3904858939801665,1.8141818536665456e-14
SOAT2,2,0,-1.5849625007211563,1.8141818536665456e-14
CSAD,18,22,0.27563444261342734,1.8141818536665456e-14
ZNF740,343,354,0.04541045968994655,1.8141818536665456e-14
ITGB7,2,1,-0.5849625007211563,1.8141818536665456e-14
RARG,129,123,-0.06817150264157922,1.8141818536665456e-14
MFSD5,1004,934,-0.10415723129129198,1.8141818536665456e-14
ESPL1,179,164,-0.12553088208385899,1.8141818536665456e-14
PFDN5,4681,4464,-0.06846475910342752,1.8141818536665456e-14
C12orf10,268,230,-0.21971332114056663,1.8141818536665456e-14
AAAS,129,81,-0.6648158084103709,1.8141818536665456e-14
SP7,1,0,-1.0,1.8141818536665456e-14
SP1,227,284,0.32192809488736235,1.8141818536665456e-14
AMHR2,1,2,0.5849625007211562,1.8141818536665456e-14
PRR13,1992,2248,0.17434195093875882,1.8141818536665456e-14
PCBP2,2151,2135,-0.010766430869070243,1.8141818536665456e-14
PCBP2-OT1,0,2,1.584962500721156,1.8141818536665456e-14
MAP3K12,136,268,0.9734302795960974,1.8141818536665456e-14
TARBP2,271,161,-0.7476128383657147,1.8141818536665456e-14
NPFF,21,9,-1.137503523749935,1.8141818536665456e-14
ATF7,122,80,-0.6026645024546151,1.8141818536665456e-14
LOC100652999,2,0,-1.5849625007211563,1.8141818536665456e-14
ATP5G2,4930,5047,0.03383165748143004,1.8141818536665456e-14
CALCOCO1,51,90,0.8073549220576041,1.8141818536665456e-14
HOXC13,0,2,1.584962500721156,1.8141818536665456e-14
HOTAIR,0,4,2.321928094887362,1.8141818536665456e-14
HOXC-AS3,1,0,-1.0,1.8141818536665456e-14
HOXC-AS2,2,0,-1.5849625007211563,1.8141818536665456e-14
HOXC9,24,29,0.2630344058337938,1.8141818536665456e-14
HOXC8,64,35,-0.8524428115861421,1.8141818536665456e-14
HOXC4,8,8,0.0,1.8141818536665456e-14
HOXC5,7,12,0.7004397181410922,1.8141818536665456e-14
HOXC6,96,95,-0.014950341465971444,1.8141818536665456e-14
FLJ12825,13,14,0.09953567355091437,1.8141818536665456e-14
LOC100240735,2,3,0.41503749927884376,1.8141818536665456e-14
LOC100240734,0,1,1.0,1.8141818536665456e-14
SMUG1,152,152,0.0,1.8141818536665456e-14
CBX5,922,1011,0.13280673704853602,1.8141818536665456e-14
HNRNPA1,52,55,0.07943446749440491,1.8141818536665456e-14
HNRNPA1P10,1158,1077,-0.10452338825396637,1.8141818536665456e-14
NFE2,2,4,0.7369655941662062,1.8141818536665456e-14
COPZ1,863,875,0.019899557437704798,1.8141818536665456e-14
LOC102724050,0,2,1.584962500721156,1.8141818536665456e-14
ZNF385A,12,10,-0.24100809950379493,1.8141818536665456e-14
ITGA5,247,309,0.32192809488736235,1.8141818536665456e-14
NCKAP1L,0,15,4.0,1.8141818536665456e-14
NEUROD4,1,0,-1.0,1.8141818536665456e-14
METTL7B,5,8,0.5849625007211562,1.8141818536665456e-14
ITGA7,8,16,0.9175378398080271,1.8141818536665456e-14
BLOC1S1,460,227,-1.0157329262645964,1.8141818536665456e-14
BLOC1S1-RDH5,0,1,1.0,1.8141818536665456e-14
RDH5,23,17,-0.4150374992788438,1.8141818536665456e-14
CD63,18114,20030,0.14504964027348569,1.8141818536665456e-14
GDF11,218,237,0.12003070370677017,1.8141818536665456e-14
SARNP,1560,994,-0.6497021065468976,1.8141818536665456e-14
ORMDL2,943,853,-0.14455078974135083,1.8141818536665456e-14
DNAJC14,221,248,0.1655860657179751,1.8141818536665456e-14
TMEM198B,62,56,-0.1443899093351748,1.8141818536665456e-14
MMP19,76,71,-0.09686153925258903,1.8141818536665456e-14
WIBG,280,240,-0.22153698399096444,1.8141818536665456e-14
DGKA,85,154,0.8498596505721397,1.8141818536665456e-14
PMEL,7,11,0.5849625007211562,1.8141818536665456e-14
CDK2,2227,1643,-0.4385389336583488,1.8141818536665456e-14
RAB5B,1799,1873,0.05812404644214976,1.8141818536665456e-14
SUOX,78,62,-0.3265008246771864,1.8141818536665456e-14
IKZF4,57,58,0.02466205423426903,1.8141818536665456e-14
RPS26,505,392,-0.36460807243570376,1.8141818536665456e-14
ERBB3,53,91,0.7686744538935444,1.8141818536665456e-14
PA2G4,5795,4505,-0.3632102813215013,1.8141818536665456e-14
RPL41,7561,8017,0.08447456816353635,1.8141818536665456e-14
ZC3H10,43,92,1.0797271924707341,1.8141818536665456e-14
ESYT1,1107,1078,-0.03826301656117147,1.8141818536665456e-14
