Gene symbol	MDA-MB-231
PITHD1	276
LYPLA2	1089
GALE	580
HMGCL	62
FUCA1	341
CNR2	0
PNRC2	204
SRSF10	696
MYOM3	2
IL22RA1	14
IFNLR1	30
LOC284632	0
GRHL3	0
STPG1	62
NIPAL3	455
RCAN3AS	1
RCAN3	45
LOC100506985	0
NCMAP	13
SRRM1	1694
CLIC4	794
RUNX3	1
SYF2	834
RSRP1	216
RHD	4
TMEM50A	434
RHCE	65
TMEM57	217
LDLRAP1	659
MAN1C1	0
SEPN1	242
MTFR1L	212
LOC646471	5
AUNIP	111
PAQR7	179
STMN1	5965
PAFAH2	46
EXTL1	1
SLC30A2	0
TRIM63	16
PDIK1L	35
FAM110D	1
ZNF593	733
CNKSR1	22
CATSPER4	0
LOC101928303	1
CEP85	105
SH3BGRL3	2370
UBXN11	3
CD52	0
AIM1L	13
ZNF683	0
LIN28A	1
DHDDS	351
LOC101928324	3
HMGN2	1081
RPS6KA1	267
ARID1A	523
PIGV	37
ZDHHC18	195
SFN	2577
GPN2	90
GPATCH3	129
NR0B2	0
NUDC	985
KDF1	0
TRNP1	123
FAM46B	33
SLC9A1	113
WDTC1	181
TMEM222	84
ACTG1P20	92
SYTL1	18
MAP3K6	69
FCN3	0
CD164L2	0
GPR3	42
WASF2	1731
AHDC1	324
FGR	0
IFI6	180
FAM76A	60
STX12	168
PPP1R8	240
SCARNA1	0
THEMIS2	35
RPA2	752
SMPDL3B	9
XKR8	175
EYA3	257
PTAFR	5
DNAJC8	972
ATPIF1	3279
SESN2	246
MED18	100
PHACTR4	542
SNHG3	4
RCC1	789
SNORA73B	0
TRNAU1AP	339
SNHG12	396
SNORD99	0
SNORA61	19
SNORA44	1
SNORA16A	2
RAB42	19
TAF12	41
RNU11	6
GMEB1	124
YTHDF2	367
OPRD1	0
EPB41	1182
TMEM200B	1158
SRSF4	808
MECR	183
PTPRU	212
LOC101928460	0
LOC101929406	0
MATN1	4
MATN1-AS1	5
LAPTM5	1178
SDC3	92
PUM1	737
SNORD103A	0
SNORD103B	0
SNORD85	0
NKAIN1	0
SNRNP40	90
ZCCHC17	340
FABP3	38
SERINC2	483
LINC01225	0
LINC01226	0
TINAGL1	530
HCRTR1	0
PEF1	208
COL16A1	23
ADGRB2	10
SPOCD1	57
PTP4A2	4417
KHDRBS1	63
TMEM39B	602
KPNA6	1705
TXLNA	373
CCDC28B	230
IQCC	26
DCDC2B	5
TMEM234	25
EIF3I	1282
MTMR9LP	17
FAM167B	2
LCK	0
HDAC1	2385
MARCKSL1	701
FAM229A	38
TSSK3	2
BSDC1	338
ZBTB8B	0
ZBTB8A	343
ZBTB8OS	86
RBBP4	407
SYNC	230
KIAA1522	92
YARS	536
S100PBP	131
FNDC5	1
HPCA	86
TMEM54	166
RNF19B	13
AK2	1799
AZIN2	403
TRIM62	14
ZNF362	108
A3GALT2	0
PHC2	1128
LOC101929464	0
ZSCAN20	12
CSMD2	0
HMGB4	0
CSMD2-AS1	0
C1orf94	0
GJB5	0
GJB4	0
GJB3	3
GJA4	0
SMIM12	370
DLGAP3	0
LOC653160	4
ZMYM6NB	66
ZMYM6	54
ZMYM1	68
SFPQ	3976
ZMYM4	210
KIAA0319L	693
NCDN	94
TFAP2E	29
PSMB2	1150
C1orf216	62
CLSPN	1264
AGO4	178
AGO1	92
AGO3	15
TEKT2	0
ADPRHL2	519
COL8A2	12
TRAPPC3	668
MAP7D1	1273
THRAP3	1193
SH3D21	6
EVA1B	5
STK40	505
LSM10	239
OSCP1	49
MRPS15	446
CSF3R	0
GRIK3	0
LINC01137	4
ZC3H12A	931
MEAF6	546
SNIP1	108
DNALI1	403
GNL2	984
RSPO1	78
C1orf109	27
CDCA8	982
